TEAM,POSITION,KDA (RATIO),KILLS (TOTAL),DEATHS (TOTAL),ASSISTS (TOTAL),KILL PARTICIPATION,CS (PER MINUTE),CS (TOTAL),MINUTES PLAYED,GAMES PLAYED,
Moss,BKT,Support,1.9,2,18,32,75.60%,1.3,219,171,6
aphromoo,CLG,Support,1.9,7,27,43,75.80%,0.8,165,196,6
Dyrus,TSM,Top,1.8,12,18,21,51.60%,5.9,"1,483",250,6
Ryu,H2K,Mid,1.8,10,21,28,58.50%,8.2,"1,554",190,6
Mylon,PNG,Top,1.8,14,25,31,69.20%,7,"1,513",217,6
Acorn,LGD,Top,1.7,4,10,13,60.70%,6.1,666,109,3
Balls,C9,Top,1.6,20,29,27,56.60%,6,"1,385",232,7
ZionSpartan,CLG,Top,1.6,14,25,25,59.10%,6.3,"1,230",196,6
Koro1,EDG,Top,1.5,14,14,7,70.00%,6.6,678,103,3
WarL0cK,BKT,Top,1.5,12,20,18,66.70%,5.9,"1,014",171,6
007x,BKT,Jungle,1.3,8,25,24,71.10%,3.2,547,171,6
Lloyd,BKT,ADC,1.2,10,26,20,66.70%,7.1,"1,217",171,6
G4,BKT,Mid,1.1,13,31,21,75.60%,6.7,"1,156",171,6
